,Unnamed: 0,iata_code,id,ident,type,name,latitude_r,longitude_r,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,local_code,home_link,wikipedia_link,keywords,Name,TotalSeats,Country.Name,Airport1Latitude,Airport1Longitude,name_calc,Country_Name
92,92,APW,4976.0,NSFA,medium_airport,Faleolo International Airport,-13.82999992370605,-172.0079956054688,58.0,OC,WS,WS-AA,Apia,yes,NSFA,,,https://en.wikipedia.org/wiki/Faleolo_International_Airport,,Faleolo International Airport,261773.862,Western Samoa,-13.83329964,-172.0,Faleolo International Airport (APW),Western Samoa
93,93,AQJ,5214.0,OJAQ,medium_airport,Aqaba King Hussein International Airport,29.61160087585449,35.01810073852539,175.0,AS,JO,JO-AQ,Aqaba,yes,OJAQ,,,https://en.wikipedia.org/wiki/Aqaba_Airport,,King Hussein International,110478.501,Jordan,29.61249924,35.01940155,Aqaba King Hussein International Airport (AQJ),Jordan
94,94,AQP,6233.0,SPQU,medium_airport,Rodríguez Ballón International Airport,-16.3411006927,-71.5830993652,8405.0,SA,PE,PE-ARE,Arequipa,yes,SPQU,,,https://en.wikipedia.org/wiki/Rodriguez_Ballon_International_Airport,,Rodriguez Ballon Intl,13648.95,Peru,-16.33779907,-71.55500031,Rodríguez Ballón International Airport (AQP),Peru
95,95,ARH,6488.0,ULAA,medium_airport,Talagi Airport,64.60030364990234,40.71670150756836,62.0,EU,RU,RU-ARK,Archangelsk,yes,ULAA,,,https://en.wikipedia.org/wiki/Talagi_Airport,Арха́нгельск Archangel,Talagi,18246.263,Russian Federation,64.5667038,40.53329849,Talagi Airport (ARH),Russian Federation
96,96,ARI,6001.0,SCAR,medium_airport,Chacalluta Airport,-18.348499,-70.338699,167.0,SA,CL,CL-AP,Arica,yes,SCAR,,,https://en.wikipedia.org/wiki/Chacalluta_International_Airport,,Chacalluta,753.942,Chile,-18.33309937,-70.33809662,Chacalluta Airport (ARI),Chile
97,97,ARN,2701.0,ESSA,large_airport,Stockholm-Arlanda Airport,59.651901245117,17.918600082397,137.0,EU,SE,SE-AB,Stockholm,yes,ESSA,,http://www.swedavia.se/arlanda/,https://en.wikipedia.org/wiki/Stockholm-Arlanda_Airport,,Arlanda,13632536.6,Sweden,59.66189957,17.93390083,Stockholm-Arlanda Airport (ARN),Sweden
98,98,ARU,5865.0,SBAU,medium_airport,Araçatuba Airport,-21.141479,-50.424575,1361.0,SA,BR,BR-SP,Araçatuba,yes,SBAU,SP0009,http://www.daesp.sp.gov.br/aeroporto-estadual-de-aracatuba-dario-guarita/,https://en.wikipedia.org/wiki/Ara%C3%A7atuba_Airport,Dario Guarita State Airport,Dario Guarita,24264.8,Brazil,-21.14360046,-50.42610169,Araçatuba Airport (ARU),Brazil
99,99,ARW,4471.0,LRAR,medium_airport,Arad International Airport,46.17660140991211,21.26199913024902,352.0,EU,RO,RO-AR,Arad,yes,LRAR,,,https://en.wikipedia.org/wiki/Arad_International_Airport,,Arad,7851.396,Romania,46.18330002,21.26670075,Arad International Airport (ARW),Romania
100,100,ASB,26380.0,UTAA,large_airport,Ashgabat International Airport,37.986801,58.361,692.0,AS,TM,TM-S,Ashgabat,yes,UTAA,,,https://en.wikipedia.org/wiki/Ashgabat_International_Airport,Saparmurat Turkmenbashy International Airport,Ashgabat International,652432.809,Turkmenistan,37.9817009,58.3608017,Ashgabat International Airport (ASB),Turkmenistan
101,101,ASD,4925.0,MYAF,medium_airport,Andros Town Airport,24.69790077209473,-77.79560089111328,5.0,,BS,BS-NS,,no,MYAF,,,https://en.wikipedia.org/wiki/Andros_Town_International_Airport,,Andros Town International,1906.52,Bahamas,24.69779968,-77.7960968,Andros Town Airport (ASD),Bahamas
102,102,ASE,19308.0,KASE,medium_airport,Aspen-Pitkin County Airport (Sardy Field),39.223202,-106.869003,7820.0,,US,US-CO,Aspen,yes,KASE,ASE,http://aspenairport.com/,https://en.wikipedia.org/wiki/Aspen%E2%80%93Pitkin_County_Airport,,Pitkin County,1213.24,United States,39.2242012,-106.8688965,Aspen-Pitkin County Airport (Sardy Field) (ASE),United States
103,103,ASF,6520.0,URWA,medium_airport,Astrakhan Narimanovo Boris M. Kustodiev International Airport,46.282843,48.010511,-65.0,AS,RU,RU-AST,Astrakhan,yes,URWA,,http://xn--80aaaa9dcahhdbllc1cxhc.xn--p1ai/,https://en.wikipedia.org/wiki/Narimanovo_Airport,Astrahan Airport Narimanovo Airport Аэропорт Астрахань Аэропорт Нариманово,Astrakhan,35946.568,Russian Federation,46.34999847,48.04999924,Astrakhan Narimanovo Boris M. Kustodiev International Airport (ASF),Russian Federation
104,104,ASI,2877.0,FHAW,medium_airport,RAF Ascension Island,-7.9696,-14.3937,278.0,AF,SH,SH-AC,Cat Hill,yes,FHAW,,http://www.raf.mod.uk/organisation/stations.cfm?selectStation=9DEB5257-FDEF-6850-8B1CFF5050616CC1#cgi.script_name#,https://en.wikipedia.org/wiki/RAF_Ascension_Island,Wideawake Airfield Ascension Island Auxiliary Field,RAF Station,2703.792,Saint Helena,-7.970300198,-14.39360046,RAF Ascension Island (ASI),Saint Helena
105,105,ASM,3202.0,HHAS,medium_airport,Asmara International Airport,15.29189968109131,38.91070175170898,7661.0,AF,ER,ER-SK,Asmara,yes,HHAS,,,https://en.wikipedia.org/wiki/Asmara_International_Airport,,Asmara International,315277.746,Eritrea,15.29109955,38.91030121,Asmara International Airport (ASM),Eritrea
106,106,ASR,4523.0,LTAU,medium_airport,Kayseri Erkilet Airport,38.770401001,35.4953994751,3463.0,AS,TR,TR-38,Kayseri,yes,LTAU,,,https://en.wikipedia.org/wiki/Erkilet_Airport,,Erkilet,178354.946,Turkey,38.70420075,35.50970078,Kayseri Erkilet Airport (ASR),Turkey
